217.160.231.140	example.de
  93.184.216.34	example.com
  93.184.216.34	example.org
  93.184.216.34	example.net
   81.2.194.128	example.eu
           find	server
           find	server
          Can't	answer:
   217.26.52.52	example.ch
  94.198.159.35	example.nl
  217.19.237.54	example.be
  62.116.159.78	example.lu
  217.61.15.222	example.it
 93.167.110.224	example.dk
           find	server
  37.44.190.208	example.no
  185.10.203.22	example.fi
           find	server
   50.63.202.16	this-is-an-example.com
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
   67.176.20.83	thisisanexample.com
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
           find	server
